ticker,EK811981@BMRK Corp
field,PX_LAST
date,
2018-11-26,99.582
2018-11-27,99.57
2018-11-28,99.664
2018-11-29,99.679
2018-11-30,99.697
2018-12-03,99.79
2018-12-04,99.741
2018-12-06,99.63
2018-12-07,99.645
2018-12-10,99.667
2018-12-11,99.586
2018-12-12,99.687
2018-12-13,99.591
2018-12-14,99.57
2018-12-17,99.706
2018-12-18,99.638
2018-12-19,99.582
2018-12-20,99.576
2018-12-21,99.532
2018-12-24,99.647
2018-12-26,99.559
2018-12-27,99.578
2018-12-28,99.564
2018-12-31,99.563
2019-01-02,99.495
2019-01-03,99.503
2019-01-04,99.456
2019-01-07,99.415
2019-01-08,99.486
2019-01-09,99.529
2019-01-10,99.438
2019-01-11,99.541
2019-01-14,99.531
2019-01-15,99.418
2019-01-16,99.564
2019-01-17,99.518
2019-01-18,99.619
2019-01-22,99.64
2019-01-23,99.671
2019-01-24,99.833
2019-01-25,99.86
2019-01-28,99.853
2019-01-29,99.84
2019-01-30,99.856
2019-01-31,99.9
2019-02-01,99.585
2019-02-04,99.859
2019-02-05,99.873
2019-02-06,99.937
2019-02-07,99.944
2019-02-08,99.901
2019-02-11,99.869
2019-02-12,99.856
2019-02-13,99.894
2019-02-14,100.213
2019-02-15,99.945
2019-02-19,99.983
2019-02-20,99.991
2019-02-21,99.977
2019-02-22,100.026
2019-02-25,100.027
2019-02-26,100.041
2019-02-27,100.029
2019-02-28,100.016
2019-03-01,100.039
2019-03-04,99.897
2019-03-05,100.042
2019-03-06,99.934
2019-03-07,100.055
2019-03-08,100.042
2019-03-11,100.031
2019-03-12,100.061
2019-03-13,100.072
2019-03-14,100.079
2019-03-15,100.081
2019-03-18,100.085
2019-03-19,100.132
2019-03-20,100.204
2019-03-21,100.218
2019-03-22,100.232
2019-03-25,100.248
2019-03-26,100.247
2019-03-27,100.249
2019-03-28,100.28
2019-03-29,100.282
2019-04-01,100.248
2019-04-02,100.256
2019-04-03,100.257
2019-04-04,100.26
2019-04-05,100.239
2019-04-08,100.245
2019-04-09,100.256
2019-04-10,100.415
2019-04-11,100.437
2019-04-12,100.434
2019-04-15,100.4
2019-04-16,100.394
2019-04-17,100.383
2019-04-18,100.377
2019-04-22,100.375
2019-04-23,100.362
2019-04-24,100.353
2019-04-25,100.341
2019-04-26,100.356
2019-04-29,100.23
2019-04-30,100.232
2019-05-01,100.235
2019-05-02,100.235
2019-05-03,100.244
2019-05-06,100.253
2019-05-07,100.251
2019-05-08,100.252
2019-05-09,100.249
2019-05-10,100.252
2019-05-13,100.262
2019-05-14,100.267
2019-05-15,100.268
2019-05-16,100.267
2019-05-17,100.27
2019-05-20,100.363
2019-05-21,100.35
2019-05-22,100.367
2019-05-23,100.362
2019-05-24,100.361
2019-05-28,100.36
2019-05-29,100.372
2019-05-30,100.371
2019-05-31,100.372
2019-06-03,100.37
2019-06-04,100.364
2019-06-05,100.372
2019-06-06,100.365
2019-06-07,100.377
2019-06-10,100.381
2019-06-11,100.13
2019-06-12,100.137
2019-06-13,100.137
2019-06-14,100.137
2019-06-17,100.138
2019-06-18,100.141
2019-06-19,100.152
2019-06-20,100.166
2019-06-21,100.167
2019-06-24,100.169
2019-06-25,100.167
2019-06-26,100.173
2019-06-27,100.188
2019-06-28,100.228
2019-07-01,100.192
2019-07-02,100.196
2019-07-03,100.191
2019-07-05,100.195
2019-07-08,100.193
2019-07-09,100.198
2019-07-10,100.297
2019-07-11,100.33
2019-07-12,100.332
2019-07-15,100.339
2019-07-16,100.342
2019-07-17,100.359
2019-07-18,100.365
2019-07-19,100.368
2019-07-22,100.367
2019-07-23,100.365
2019-07-24,100.364
2019-07-25,100.359
2019-07-26,100.467
2019-07-29,100.476
2019-07-30,100.474
