ticker,EJ536676@BMRK Corp
field,PX_LAST
date,
2018-04-12,97.381
2018-04-13,97.275
2018-04-16,97.331
2018-04-17,97.022
2018-04-18,97.176
2018-04-19,97.03
2018-04-20,96.394
2018-04-23,96.738
2018-04-24,96.728
2018-04-25,96.48
2018-04-26,96.414
2018-04-27,95.818
2018-04-30,95.842
2018-05-01,95.686
2018-05-02,95.069
2018-05-03,95.483
2018-05-04,94.203
2018-05-07,94.144
2018-05-08,94.212
2018-05-09,94.829
2018-05-10,94.574
2018-05-11,95.044
2018-05-14,94.982
2018-05-15,95.011
2018-05-16,95.164
2018-05-17,95.414
2018-05-18,95.38
2018-05-21,95.345
2018-05-22,95.756
2018-05-23,95.966
2018-05-24,95.85
2018-05-25,96.023
2018-05-29,95.684
2018-05-30,95.84
2018-05-31,95.945
2018-06-01,95.795
2018-06-04,95.689
2018-06-05,95.767
2018-06-06,95.536
2018-06-07,95.112
2018-06-08,94.884
2018-06-11,94.551
2018-06-12,94.073
2018-06-13,93.73
2018-06-14,93.956
2018-06-15,93.867
2018-06-18,93.765
2018-06-19,93.536
2018-06-20,93.485
2018-06-21,93.293
2018-06-22,93.545
2018-06-25,93.608
2018-06-26,93.508
2018-06-27,93.634
2018-06-28,93.612
2018-06-29,93.751
2018-07-02,93.805
2018-07-03,94.554
2018-07-05,94.595
2018-07-06,94.969
2018-07-09,94.96
2018-07-10,95.625
2018-07-11,95.855
2018-07-12,96.055
2018-07-13,95.915
2018-07-16,95.922
2018-07-17,96.134
2018-07-18,95.982
2018-07-19,95.826
2018-07-20,96.129
2018-07-23,95.962
2018-07-24,95.976
2018-07-25,96.257
2018-07-26,96.309
2018-07-27,96.536
2018-07-30,96.417
2018-07-31,97.008
2018-08-01,97.15
2018-08-02,97.665
2018-08-03,97.638
2018-08-06,97.528
2018-08-07,97.399
2018-08-08,97.291
2018-08-09,97.227
2018-08-10,96.805
2018-08-13,96.543
2018-08-14,96.591
2018-08-15,96.285
2018-08-16,96.405
2018-08-17,96.472
2018-08-20,97.031
2018-08-21,96.728
2018-08-22,96.646
2018-08-23,96.65
2018-08-24,97.333
2018-08-27,97.523
2018-08-28,96.795
2018-08-29,97.132
2018-08-30,96.948
2018-08-31,96.945
2018-09-04,96.756
2018-09-05,97.233
2018-09-06,97.006
2018-09-07,97.08
2018-09-10,97.217
2018-09-11,97.147
2018-09-12,97.271
2018-09-13,97.178
2018-09-14,97.216
2018-09-17,97.505
2018-09-18,97.631
2018-09-19,98.346
2018-09-20,98.534
2018-09-21,99.122
2018-09-24,99.21
2018-09-25,98.78
2018-09-26,98.993
2018-09-27,99.154
2018-09-28,99.122
2018-10-01,99.09
2018-10-02,99.499
2018-10-03,99.273
2018-10-04,99.38
2018-10-05,98.714
2018-10-09,98.673
2018-10-10,98.147
2018-10-11,97.894
2018-10-12,98.176
2018-10-15,97.792
2018-10-16,97.506
2018-10-17,97.593
2018-10-18,98.169
2018-10-19,98.523
2018-10-22,98.533
2018-10-23,98.572
2018-10-24,98.646
2018-10-25,98.412
2018-10-26,98.332
2018-10-29,98.486
2018-10-30,98.018
2018-10-31,98.238
2018-11-01,98.431
2018-11-02,98.565
2018-11-05,98.48
2018-11-06,98.745
2018-11-07,99.149
2018-11-08,99.181
2018-11-09,98.713
2018-11-13,98.649
2018-11-14,98.83
2018-11-15,98.71
2018-11-16,98.623
2018-11-19,98.45
2018-11-20,98.187
2018-11-21,98.031
2018-11-23,97.89
2018-11-26,98.029
2018-11-27,97.634
2018-11-28,97.836
2018-11-29,98.29
2018-11-30,98.223
2018-12-03,99.082
2018-12-04,98.586
2018-12-06,98.343
2018-12-07,98.557
2018-12-10,98.423
2018-12-11,98.425
2018-12-12,98.763
2018-12-13,98.823
2018-12-14,99.309
2018-12-17,99.342
2018-12-18,99.698
2018-12-19,99.397
2018-12-20,99.529
2018-12-21,99.399
2018-12-24,99.209
2018-12-26,99.22
2018-12-27,99.131
2018-12-28,99.302
2018-12-31,99.593
2019-01-02,99.394
2019-01-03,99.454
2019-01-04,99.962
2019-01-07,99.927
2019-01-08,99.905
2019-01-09,100.721
2019-01-10,100.33
2019-01-11,100.583
2019-01-14,100.333
2019-01-15,100.298
2019-01-16,100.535
2019-01-17,100.072
2019-01-18,100.529
2019-01-22,100.55
2019-01-23,100.418
2019-01-24,100.487
2019-01-25,100.404
2019-01-28,100.259
2019-01-29,99.906
2019-01-30,100.72
2019-01-31,100.485
2019-02-01,100.656
2019-02-04,100.94
2019-02-05,100.783
2019-02-06,100.792
2019-02-07,100.637
2019-02-08,100.618
2019-02-11,100.591
2019-02-12,100.81
2019-02-13,100.939
2019-02-14,100.923
2019-02-15,100.907
2019-02-19,101.001
2019-02-20,100.992
2019-02-21,100.978
2019-02-22,101.409
2019-02-25,101.083
2019-02-26,101.517
2019-02-27,101.113
2019-02-28,101.943
2019-03-01,101.48
2019-03-04,101.457
2019-03-05,101.631
2019-03-06,101.397
2019-03-07,101.37
2019-03-08,101.225
2019-03-11,101.241
2019-03-12,101.521
2019-03-13,101.362
2019-03-14,101.263
2019-03-15,101.421
2019-03-18,101.289
2019-03-19,101.615
2019-03-20,101.594
2019-03-21,101.591
2019-03-22,101.537
2019-03-25,101.281
2019-03-26,101.25
2019-03-27,101.17
2019-03-28,101.047
2019-03-29,101.4
2019-04-01,101.486
2019-04-02,101.35
2019-04-03,101.348
2019-04-04,101.405
2019-04-05,101.406
2019-04-08,101.314
