date,Spread
2013-06-11,213.899
2013-06-12,217.73
2013-06-13,210.327
2013-06-14,208.385
2013-06-17,213.603
2013-06-18,213.467
2013-06-19,230.705
2013-06-20,236.88
2013-06-21,248.533
2013-06-24,249.113
2013-06-25,254.233
2013-06-26,247.444
2013-06-27,242.14
2013-06-28,245.018
2013-07-01,246.134
2013-07-02,244.394
2013-07-03,245.757
2013-07-04,245.757
2013-07-05,269.855
2013-07-08,260.014
2013-07-09,259.34
2013-07-10,258.828
2013-07-11,253.659
2013-07-12,254.663
2013-07-15,251.181
2013-07-16,250.13
2013-07-17,245.84
2013-07-18,249.794
2013-07-19,245.86
2013-07-22,246.518
2013-07-23,248.465
2013-07-24,256.266
2013-07-25,255.093
2013-07-26,254.21
2013-07-29,258.206
2013-07-30,256.958
2013-07-31,253.568
2013-08-01,266.543
2013-08-02,256.055
2013-08-05,258.771
2013-08-06,260.159
2013-08-07,255.106
2013-08-08,253.848
2013-08-09,252.266
2013-08-12,256.481
2013-08-13,266.323
2013-08-14,265.778
2013-08-15,271.058
2013-08-16,277.947
2013-08-19,283.478
2013-08-20,277.874
2013-08-21,285.803
2013-08-22,285.901
2013-08-23,278.416
2013-08-26,277.009
2013-08-27,264.279
2013-08-28,273.487
2013-08-29,273.634
2013-08-30,275.857
2013-09-02,275.857
2013-09-03,283.737
2013-09-04,287.635
2013-09-05,296.837
2013-09-06,291.394
2013-09-09,289.675
2013-09-10,294.403
2013-09-11,289.188
2013-09-12,288.918
2013-09-13,286.434
2013-09-16,285.414
2013-09-17,283.569
2013-09-18,267.767
2013-09-19,274.684
2013-09-20,271.852
2013-09-23,268.469
2013-09-24,262.989
2013-09-25,260.771
2013-09-26,264.478
2013-09-27,260.419
2013-09-30,259.983
2013-10-01,262.974
2013-10-02,260.207
2013-10-03,257.924
2013-10-04,261.936
2013-10-07,260.117
2013-10-08,258.131
2013-10-09,261.745
2013-10-10,263.072
2013-10-11,262.626
2013-10-14,262.626
2013-10-15,262.112
2013-10-16,257.208
2013-10-17,254.473
2013-10-18,254.726
2013-10-21,257.095
2013-10-22,248.202
2013-10-23,246.611
2013-10-24,248.419
2013-10-25,247.334
2013-10-28,250.304
2013-10-29,246.284
2013-10-30,250.235
2013-10-31,251.364
2013-11-01,258.126
2013-11-04,256.297
2013-11-05,261.895
2013-11-06,259.139
2013-11-07,253.91
2013-11-08,269.189
2013-11-11,269.189
2013-11-12,271.201
2013-11-13,262.349
2013-11-14,261.39
2013-11-15,262.726
2013-11-18,259.477
2013-11-19,262.574
2013-11-20,271.757
2013-11-21,270.818
2013-11-22,266.668
2013-11-25,266.242
2013-11-26,263.667
2013-11-27,267.139
2013-11-28,267.139
2013-11-29,268.365
2013-12-02,273.937
2013-12-03,274.19
2013-12-04,278.354
2013-12-05,281.083
2013-12-06,279.445
2013-12-09,277.804
2013-12-10,272.966
2013-12-11,278.254
2013-12-12,280.636
2013-12-13,279.868
2013-12-16,281.246
2013-12-17,276.945
2013-12-18,282.721
2013-12-19,285.808
2013-12-20,282.78
2013-12-23,286.147
2013-12-24,290.648
2013-12-25,290.648
2013-12-26,292.461
2013-12-27,293.408
2013-12-30,290.438
2013-12-31,295.718
2014-01-01,295.718
2014-01-02,292.313
2014-01-03,292.382
2014-01-06,290.693
2014-01-07,289.855
2014-01-08,295.389
2014-01-09,291.959
2014-01-10,281.736
2014-01-13,279.531
2014-01-14,283.539
2014-01-15,285.068
2014-01-16,280.594
2014-01-17,278.392
2014-01-20,278.392
2014-01-21,278.807
2014-01-22,283.007
2014-01-23,273.664
2014-01-24,266.433
2014-01-27,269.213
2014-01-28,269.812
2014-01-29,263.112
2014-01-30,267.465
